"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "0.416 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "0.416 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "0.416 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "0.416 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "0.416 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
0.0166666666666667, 3.04778476653343, 1.00135643067085, 3.04778476653343, 3.20806899619679, 3.04509090355496, 1.00087439007495, 3.04509090355496, 3.20535928651081, 0, 0, 0, 0, 0.00229457837267143, 0.000393310778018569, 0.00229457837267143, 0.000393310778018569, 0.00229457837267143, 0.000393310778018569, 0, 0, 0.00229457837267143, 0, 0.00229457837267143, 0, 0.00218991184299304, 0.000104666531407474, 0.00229457837267143, 0, 0, 0, 0, 0, 0.00229457837267143, 0, 0, 0, 0, 0, 0, 0.00229457837267143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04509090355496, 0, 0, 0, 0, 0, 0
0.0333333333333333, 3.0550079041396, 1.00375861357265, 3.0550079041396, 3.21568105518515, 3.05269412391414, 1.00337247510994, 3.05269412391414, 3.21336237265394, 0, 0, 0, 0, 0.00231713173633935, 0.000397152241129288, 0.00231713173633935, 0.000397152241129288, 0.00231713173633935, 0.000397152241129288, 0, 0, 0.00231713173633935, 0, 0.00231713173633935, 0, 0.00220949484738819, 0.000107636890707769, 0.00231713173633935, 0, 0, 0, 0, 0, 0.00231713173633935, 0, 0, 0, 0, 0, 0, 0.00231713173633935, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05269412391414, 0, 0, 0, 0, 0, 0
0.05, 3.23890759781061, 1.06419211917105, 3.23890759781061, 3.40925612027918, 3.23635727494549, 1.06373808007108, 3.23635727494549, 3.40669152024158, 0, 0, 0, 0, 0.00261260600648455, 0.000446723473597912, 0.00261260600648455, 0.000446723473597912, 0.00261260600648455, 0.000446723473597912, 0, 0, 0.00261260600648455, 0, 0.00261260600648455, 0, 0.00248382320622646, 0.000128782802192367, 0.00261260600648455, 0, 0, 0, 0, 0, 0.00261260600648455, 0, 0, 0, 0, 0, 0, 0.00261260600648455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23635727494549, 0, 0, 0, 0, 0, 0
0.0666666666666667, 3.65576151284211, 1.20112196599892, 3.65576151284211, 3.84802367664009, 3.65261952214791, 1.20055567557401, 3.65261952214791, 3.84486193558742, 0, 0, 0, 0, 0.00325377536126787, 0.000545063206622168, 0.00325377536126787, 0.000545063206622168, 0.00325377536126787, 0.000545063206622168, 0, 0, 0.00325377536126787, 0, 0.00325377536126787, 0, 0.00304997691822627, 0.00020379844534471, 0.00325377536126787, 0, 0, 0, 0, 0, 0.00325377536126787, 0, 0, 0, 0, 0, 0, 0.00325377536126787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65261952214791, 0, 0, 0, 0, 0, 0
0.0833333333333333, 4.09310180176368, 1.34471415436626, 4.09310180176368, 4.30833361249499, 4.08900425837018, 1.34398745513053, 4.08900425837018, 4.30421399381091, 0, 0, 0, 0, 0.00419149919387873, 0.00070488568926446, 0.00419149919387873, 0.00070488568926446, 0.00419149919387873, 0.00070488568926446, 0, 0, 0.00419149919387873, 0, 0.00419149919387873, 0, 0.00392655321844999, 0.000264945978681354, 0.00419149919387873, 0, 0, 0, 0, 0, 0.00419149919387873, 0, 0, 0, 0, 0, 0, 0.00419149919387873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08900425837018, 0, 0, 0, 0, 0, 0
0.1, 4.19984379144224, 1.37968688699227, 4.19984379144224, 4.42065874940086, 4.19544209988665, 1.37897440674316, 4.19544209988665, 4.41625461539005, 0, 0, 0, 0, 0.00438844813705027, 0.000741689973724978, 0.00438844813705027, 0.000741689973724978, 0.00438844813705027, 0.000741689973724978, 0, 0, 0.00438844813705027, 0, 0.00438844813705027, 0, 0.00415460183031527, 0.000233846310497777, 0.00438844813705027, 0, 0, 0, 0, 0, 0.00438844813705027, 0, 0, 0, 0, 0, 0, 0.00438844813705027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19544209988665, 0, 0, 0, 0, 0, 0
0.116666666666667, 4.37605864856051, 1.43760734467636, 4.37605864856051, 4.60614851835116, 4.37139969263007, 1.43680918971012, 4.37139969263007, 4.60147323368959, 0, 0, 0, 0, 0.00470878638651853, 0.000790007233537172, 0.00470878638651853, 0.000790007233537172, 0.00470878638651853, 0.000790007233537172, 0, 0, 0.00470878638651853, 0, 0.00470878638651853, 0, 0.00443456377703794, 0.000274222613399576, 0.00470878638651853, 0, 0, 0, 0, 0, 0.00470878638651853, 0, 0, 0, 0, 0, 0, 0.00470878638651853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37139969263007, 0, 0, 0, 0, 0, 0
0.133333333333333, 4.60214354723114, 1.51182783966349, 4.60214354723114, 4.84410452468801, 4.59689069057028, 1.51092476203603, 4.59689069057028, 4.83883226177405, 0, 0, 0, 0, 0.00534090052806852, 0.000893776310179447, 0.00534090052806852, 0.000893776310179447, 0.00534090052806852, 0.000893776310179447, 0, 0, 0.00534090052806852, 0, 0.00534090052806852, 0, 0.00497868108943414, 0.000362219442909387, 0.00534090052806852, 0, 0, 0, 0, 0, 0.00534090052806852, 0, 0, 0, 0, 0, 0, 0.00534090052806852, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59689069057028, 0, 0, 0, 0, 0, 0
0.15, 4.76736983133368, 1.56602669026627, 4.76736983133368, 5.01799309518625, 4.76149285690687, 1.56502574762694, 4.76149285690687, 5.01209734713028, 0, 0, 0, 0, 0.00589474570761744, 0.000976012045502876, 0.00589474570761744, 0.000976012045502876, 0.00589474570761744, 0.000976012045502876, 0, 0, 0.00589474570761744, 0, 0.00589474570761744, 0, 0.0054037865995893, 0.000490959112864553, 0.00589474570761744, 0, 0, 0, 0, 0, 0.00589474570761744, 0, 0, 0, 0, 0, 0, 0.00589474570761744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76149285690687, 0, 0, 0, 0, 0, 0
0.166666666666667, 7.22667551156268, 2.36965915815263, 7.22667551156268, 7.60526945447933, 7.1970165194618, 2.36555402065104, 7.1970165194618, 7.57580969969707, 0, 0, 0, 0, 0.0297012568626526, 0.00410511038746109, 0.0297012568626526, 0.00410511038746109, 0.0297012568626526, 0.00410511038746109, 0, 0, 0.0297012568626526, 0, 0.0297012568626526, 0, 0.0188391637684446, 0.0108620930986311, 0.0297012568626526, 0, 0, 0, 0, 0, 0.0297012568626526, 0, 0, 0, 0, 0, 0, 0.0297012568626526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.1970165194618, 0, 0, 0, 0, 0, 0
